Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
176,,54,176,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet"," IT Service Provider",Sugon,China,2019,Industry,58112,,1934,3905.126,3870000,,,630,Submitted,3.07,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50741,179736
177,134,46,34,,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","Japan Atomic Energy Agency (JAEA)",HPE,Japan,2015,Research,60240,,1929.37,2409.6,3852288,,,3012,Derived,0.641,Cluster,"Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"SUSE Linux Enterprise Server 11",Linux,None,12,"Intel Xeon E5 (Haswell)","SGI ICE X","SGI ICE",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50306,178671
178,135,52,102,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet","Telecom Company",Sugon,China,2018,Industry,54000,,1928,3974.4,4093000,,,520,Submitted,3.708,Cluster,"Xeon Gold 6140 18C 2.3GHz","Intel Skylake",2300,CentOS,Linux,None,18,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50591,179535
179,136,53,136,"Amazon EC2 C5 Instance cluster us-east-1a","Amazon EC2 Instance Cluster C5, Xeon Platinum 8124M 18C 3GHz, 25G Ethernet","Descartes Labs","Amazon Web Services","United States",2018,Industry,41472,,1926.4,3981.312,2985984,,,,,,Cluster,"Xeon Platinum 8124M 18C 3GHz","Intel Skylake",3000,"Amazon Linux 2",Linux,None,18,"Xeon Platinum","Amazon EC2 Instance Cluster C5","Amazon EC2","Gigabit Ethernet","25G Ethernet","North America",Americas,50808,179693
180,,54,180,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR","Internet Company",Inspur,China,2017,Industry,40320,38400,1921,3520.512,1284000,,,,,,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","Inspur TS10000","Inspur Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50743,179795
181,,54,181,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet","Financial Company P",Lenovo,China,2019,Industry,57200,,1914.59,3660.8,5239680,,,,,,Cluster,"Xeon Gold 6138 20C 2GHz","Intel Skylake",2000,Linux,Linux,None,20,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50795,179745
182,137,52,103,,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet","Energy Company",Huawei,China,2018,Industry,49680,,1914.38,4292.352,4569600,,,732.78,Submitted,2.612,Cluster,"Xeon Gold 6150 18C 2.7GHz","Intel Skylake",2700,Linux,Linux,None,18,"Xeon Gold","Huawei 2288H V5","Huawei Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50417,179595
183,,54,183,,"ThinkSystem SR650, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,86400,,1905.48,3179.52,7200000,,,,,,Cluster,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,Linux,Linux,None,16,"Intel Xeon E5 (Haswell)","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179743
184,,54,184,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet","DJIT Company",Sugon,China,2019,Industry,46200,,1901,3843.84,3689000,,,630,Submitted,3.017,Cluster,"Xeon Gold 6132 14C 2.6GHz","Intel Skylake",2600,CentOS,Linux,None,14,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50787,179734
185,138,44,56,"Piz Daint Multicore","Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","Swiss National Supercomputing Centre (CSCS)",Cray/HPE,Switzerland,2016,Research,65268,,1896.75,2193.005,3711744,,,732.4,Submitted,2.59,MPP,"Xeon E5-2695v4 18C 2.1GHz","Intel Broadwell",2100,"Cray Linux Environment ",Linux,None,18,"Intel Xeon E5 (Broadwell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe",Europe,50422,178451
186,,54,186,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet","Internet Company",Sugon,China,2019,Industry,56800,,1896,3816.96,4686000,,,625,Submitted,3.034,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50761,179737
187,139,53,139,A1,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,47040,,1882.56,3612.672,4751616,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179660
188,,54,188,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Service (B)",Inspur,China,2018,Industry,173680,166400,1872,15162.368,1337000,,,,,,Cluster,"Xeon Gold 5117 14C 2GHz","Intel Skylake",2000,CentOS,Linux,"NVIDIA Tesla V100",14,"Xeon Gold","INSPUR SA5212M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179790
189,,54,189,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Service P",Inspur,China,2018,Industry,40320,38400,1872,3520.512,1284000,,,,,,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","Inspur TS10000","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50759,179791
190,140,47,44,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR","Commissariat a l'Energie Atomique (CEA)",Atos,France,2016,Research,70272,,1871,2586.01,4263552,,35.189,1042,Submitted,1.796,Cluster,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Bullx Linux",Linux,None,16,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx",Infiniband,"Infiniband FDR","Western Europe",Europe,47593,178790
191,,54,191,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,44000,,1861.37,3520,4595712,,,,,,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,Linux,Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179752
192,,54,192,,"Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Service P",Inspur,China,2019,Industry,46480,44800,1854,4080.048,1387000,,,,,,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50759,179793
193,,54,193,"Santos Dumont (SDumont)","Bull Sequana X1000, Xeon Gold 6252 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2","Laboratório Nacional de Computação Científica",Atos,Brazil,2019,Academic,33856,29440,1849,2727.027,1257024,,,,,,Cluster,"Xeon Gold 6252 24C 2.1GHz","Intel Cascade lake",2100,"bullx SCS",Linux,"NVIDIA Tesla V100 SXM2",24,"Xeon Gold 62xx (Cascade Lake)","Bull Sequana X1000","Bull Sequana",Infiniband,"Mellanox InfiniBand EDR","South America",Americas,50576,179704
194,141,53,141,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet","Internet Company",Sugon,China,2019,Industry,55040,,1838,3698.688,4613000,,,600,Submitted,3.063,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50743,179670
195,142,53,142,Fênix,"SYS-1029GQ-TRT, Xeon Gold 5122 4C 3.6GHz, Infiniband EDR, NVIDIA Tesla V100","Petróleo Brasileiro S.A",Atos,Brazil,2019,Industry,48384,46080,1836,4297.421,1285632,,,287,Submitted,6.397,Cluster,"Xeon Gold 5122 4C 3.6GHz","Intel Skylake",3600,CentOS,Linux,"NVIDIA Tesla V100",4,"Xeon Gold",SYS-1029GQ-TRT,"Supermicro SuperServer",Infiniband,"Infiniband EDR","South America",Americas,49587,179681
196,,54,196,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,83200,,1835.52,6123.52,7065600,,,,,,Cluster,"Xeon Gold 5218 16C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,16,"Xeon Gold","ThinkSystem SR570","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179744
197,,54,197,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet","DJIT Company",Sugon,China,2019,Industry,48000,,1833,3686.4,3146000,,,470,Submitted,3.9,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,CentOS,Linux,None,20,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50787,179733
198,156,52,204,Astra,"Apollo 70, Marvell ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR Infiniband","Sandia National Laboratories",HPE,"United States",2018,Research,143640,,1833,2298.24,5220096,,90.9,1192.54,Submitted,1.537,Cluster,"Marvell ThunderX2 CN9975-2000  28C 2GHz",ThunderX2,2000,"Tri-Lab Operating System ",Linux,None,28,"Marvell ThunderX2","Apollo 70","HP Apollo",Infiniband,"4xEDR Infiniband","North America",Americas,48748,179565
199,,54,199,,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet","Internet Service (B)",Sugon,China,2019,Industry,116200,,1832,7436.8,5758000,,,1300,Submitted,1.409,Cluster,"Xeon Gold 5117 14C 2GHz","Intel Skylake",2000,CentOS,Linux,None,14,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50330,179738
200,143,52,106,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,43200,,1831.49,3456,4553664,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179474
201,144,50,84,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR","Science and Technology Facilities Council",Atos,"United Kingdom",2017,Research,80640,,1829.86,4329.728,4162560,,,529,Submitted,3.459,Cluster,"Intel Xeon Phi 7210 64C 1.3GHz","Intel Xeon Phi",1300,"bullx SCS",Linux,None,64,"Intel Xeon Phi","Bull Sequana X1000","Bull Sequana",Infiniband,"Infiniband EDR","Northern Europe",Europe,50732,179163
202,145,53,145,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet, NVIDIA Tesla P100","Financial Company P",Lenovo,China,2019,Industry,66080,35840,1828.02,4981.76,3810048,,,,,,Cluster,"Xeon Gold 6138 20C 2GHz","Intel Skylake",2000,Linux,Linux,"NVIDIA Tesla P100",20,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50795,179694
203,146,52,108,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,41760,38400,1825,3353.184,908000,,,240,Submitted,7.604,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,CentOS,Linux,"NVIDIA Tesla V100",14,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50598,179555
204,,54,204,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet","IT Service Provider",Sugon,China,2019,Industry,44100,,1824,3669.12,3604000,,,600,Submitted,3.04,Cluster,"Xeon Gold 6132 14C 2.6GHz","Intel Skylake",2600,CentOS,Linux,None,14,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50709,179735
205,,54,205,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Service (B)",Inspur,China,2018,Industry,48880,41600,1820,4140.032,1337000,,,,,,Cluster,"Xeon Gold 5117 14C 2GHz","Intel Skylake",2000,CentOS,Linux,"NVIDIA Tesla V100",14,"Xeon Gold","INSPUR SA5212M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179788
206,,54,206,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Service (B)",Inspur,China,2018,Industry,48880,41600,1820,4140.032,1337000,,,,,,Cluster,"Xeon Gold 5117 14C 2GHz","Intel Skylake",2000,CentOS,Linux,"NVIDIA Tesla V100",14,"Xeon Gold","INSPUR SA5212M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179789
207,,54,207,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet","Government Agency (S)",Sugon,China,2019,Government,54240,,1815,3644.928,4626000,,,600,Submitted,3.025,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50824,179787
208,,54,208,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR","Suzhou SC center",Sugon,China,2019,Industry,30600,27200,1814,2674.1,824000,,,180,Submitted,10.078,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,CentOS,Linux,"NVIDIA Tesla V100",20,"Xeon Gold 62xx (Cascade Lake)","Sugon TC6000","Sugon Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50812,179713
209,147,53,147,"Bank P A2","ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Financial Company P",Lenovo,China,2019,Industry,36000,24000,1809.34,3021.6,2400000,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100",20,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50795,179648
210,148,53,148,"Bank P A2","ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Financial Company P",Lenovo,China,2019,Industry,36000,24000,1809.34,3021.6,2400000,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100",20,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50795,179659
211,149,52,109,JCSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,110080,,1807,3698.688,6432000,,,1100,Submitted,1.643,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50598,179543
212,150,52,110,S1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,33840,,1804,2923.776,4248384,,,,,,Cluster,"Xeon Gold 6150 18C 2.7GHz","Intel Skylake",2700,Linux,Linux,None,18,"Xeon Gold","ThinkSystem Flex SN550","Lenovo ThinkSystem",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50774,179581
213,151,44,32,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ","KTH - Royal Institute of Technology",Cray/HPE,Sweden,2017,Academic,67456,,1802.51,2438.14,3932160,,,842,Derived,2.141,MPP,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ",Linux,None,16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe",Europe,48188,178448
214,152,52,112,ESSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet","State Grid Corp",Sugon,China,2018,Industry,105000,,1790,3696,7657000,,,1100,Submitted,1.627,Cluster,"Xeon E5-2630v4 10C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,10,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50610,179546
215,153,50,70,"Molecular Simulator","NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path","Institute for Molecular Science",NEC,Japan,2017,Research,38552,,1785.62,3072.768,2649984,,,544.48,Submitted,3.279,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,CentOS,Linux,None,20,"Xeon Gold","NEC LX Cluster","NEC Cluster",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,48473,179173
216,154,52,114,R1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,33120,,1768.59,2861.568,4202880,,,,,,Cluster,"Xeon Gold 6150 18C 2.7GHz","Intel Skylake",2700,Linux,Linux,None,18,"Xeon Gold","ThinkSystem Flex SN550","Lenovo ThinkSystem",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50774,179580
217,,54,217,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,80000,,1765.81,5888,6928128,,,,,,Cluster,"Xeon Gold 5218 16C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,16,"Xeon Gold","ThinkSystem SR570","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179757
218,155,53,155,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet","Internet Company",Sugon,China,2019,Industry,99360,,1765,7312.896,5843000,,,1320,Submitted,1.337,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50743,179676
219,,54,219,POD3,"Huawei Cluster, Xeon Gold 6148 20C 2.4GHz, Infiniband","Group 42",Huawei,"United Arab Emirates",2019,Industry,34800,,1756.75,2672.64,5145600,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,CentOS,Linux,None,20,"Xeon Gold","Huawei Cluster","Huawei Cluster",Infiniband,Infiniband,"Western Asia",Asia,50813,179715
220,157,49,65,QURIOSITY,"Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",BASF,HPE,Germany,2017,Industry,35280,,1750.18,2709.504,4264320,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","Apollo 6000 XL230k","HP Apollo",Omnipath,"Intel Omni-Path","Western Europe",Europe,47379,179110
221,,54,221,CARA,"NEC LX Cluster, AMD Epyc 7601 32C 2.2GHz, Infiniband HDR","German Aerospace Center",NEC,Germany,2019,Research,145920,,1746,2568.192,5483088,,,,,,Cluster,"AMD Epyc 7601 32C 2.2GHz","AMD Zen (Naples)",2200,Linux,Linux,None,32,"AMD Naples","NEC LX Cluster","NEC Cluster",Infiniband,"Infiniband HDR","Western Europe",Europe,50821,179779
222,,54,222,,"ThinkSystem SR590, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,2312800,,1741.02,81410.56,7526016,,,,,,Cluster,"Xeon E7-4850V3 14C 2.2GHz","Intel Haswell",2200,Linux,Linux,None,14,"Intel Xeon E7 (Haswell-Ex)","ThinkSystem SR590","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179753
223,158,52,116,CSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",CMCC,Sugon,China,2018,Others,97920,,1736,7206.912,6750000,,,1000,Submitted,1.736,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50783,179538
224,159,52,117,Q1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,32400,,1735.66,2799.36,4156992,,,,,,Cluster,"Xeon Gold 6150 18C 2.7GHz","Intel Skylake",2700,Linux,Linux,None,18,"Xeon Gold","ThinkSystem Flex SN550","Lenovo ThinkSystem",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50774,179578
225,160,51,97,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,38400,,1729,3072,8122000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,CentOS,Linux,None,24,"Xeon Platinum","Inspur SA5212H5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179371
226,161,51,96,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,38400,,1729,3072,8122000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,CentOS,Linux,None,24,"Xeon Platinum","Inspur SA5212H5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179372
227,162,51,95,,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet","Internet Service A",Inspur,China,2017,Industry,38400,,1729,3072,8122000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,CentOS,Linux,None,24,"Xeon Platinum","Inspur SA5212H5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179373
228,163,51,188,"Internet Company T DD1","Lenovo RD350, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","Service Provider T",Lenovo,China,2018,Industry,118400,,1728.88,3978.24,9732480,,,,,,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Lenovo RD350","Lenovo Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50329,179354
229,,54,229,,"Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR","Manufacturing Company B",Huawei,Germany,2019,Industry,38400,,1724.45,3440.64,4224000,,,654.6,Submitted,2.634,Cluster,"Xeon Gold 6242 16C 2.8GHz","Intel Cascade lake",2800,Linux,Linux,None,16,"Xeon Gold 62xx (Cascade Lake)","Huawei X6000","Huawei Cluster",Infiniband,"Infiniband EDR","Western Europe",Europe,50690,179727
230,164,47,46,"Marconi Intel Xeon","Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.098,4320000,,,1360.8,Derived,1.267,Cluster,"Xeon E5-2697v4 18C 2.3GHz","Intel Broadwell",2300,Linux,Linux,None,18,"Intel Xeon E5 (Broadwell)","Lenovo NeXtScale nx360 M5","Lenovo NeXtScale",Omnipath,"Intel Omni-Path","Southern Europe",Europe,47495,178755
231,165,49,67,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100","Internet Service A",Inspur,China,2017,Industry,39680,34720,1714,3149.6,1460000,,,,,,Cluster,"Xeon E5-2682v4 16C 2.5GHz","Intel Broadwell",2500,CentOS,Linux,"NVIDIA Tesla P100",16,"Intel Xeon E5 (Broadwell)","Inspur TS10000","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50596,179118
232,166,53,166,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100","CSC (Center for Scientific Computing)",Atos,Finland,2019,Academic,40000,,1706.73,2688,4462464,,,585,Submitted,2.917,Cluster,"Xeon Gold 6230 20C 2.1GHz","Intel Cascade lake",2100,"bullx SCS",Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","Bull Sequana X1000","Bull Sequana",Infiniband,"Mellanox HDR100","Northern Europe",Europe,47508,179601
233,167,52,124,P1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,31680,,1703.508,2737.152,4110528,,,,,,Cluster,"Xeon Gold 6150 18C 2.7GHz","Intel Skylake",2700,Linux,Linux,None,18,"Xeon Gold","ThinkSystem Flex SN550","Lenovo ThinkSystem",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50774,179579
234,168,45,32,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,HPE,"United States",2015,Government,57600,,1703.28,2304,3450432,,,2880,Derived,0.591,Cluster,"Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,Linux,Linux,None,12,"Intel Xeon E5 (Haswell)","Cluster Platform 3000 BL460c Gen9","HP Cluster Platform 3000BL",Infiniband,"Infiniband FDR","North America",Americas,50046,178533
